,id,submitDate,flag,Xnum_1,Xnum_2,Xnum_3,Xnum_4,Xnum_5,Xcat_1
0,00001,2025-01-01 00:00:00+00:00,0.0,338.4506242496116,1.0,0.75,28.0,,yes
1,00002,2025-01-01 00:00:00+00:00,0.0,295.2732216879146,1.0,1.0,0.0,,yes
2,00003,2025-01-01 00:00:00+00:00,0.0,,1.0,0.75,877.0,-999.0,
3,00004,2025-01-01 00:00:00+00:00,0.0,328.0806248422456,1.0,0.25,-99.0,0.0,yes
4,00005,2025-01-01 00:00:00+00:00,0.0,287.1178575819956,1.0,0.25,71.0,,yes
5,00006,2025-01-01 00:00:00+00:00,0.0,255.6394776962952,0.0,0.9166666666666666,2798.0,5.0,yes
6,00007,2025-01-01 00:00:00+00:00,0.0,298.42160878198507,1.0,0.8333333333333334,31.0,1.0,yes
7,00008,2025-01-01 00:00:00+00:00,0.0,292.9234954150093,3.0,1.0,0.0,1.0,yes
8,00009,2025-01-01 00:00:00+00:00,0.0,315.9874044238095,2.0,0.25,2752.0,5.0,yes
9,00010,2025-01-01 00:00:00+00:00,0.0,336.7834374359855,1.0,1.0,0.0,1.0,yes
10,00011,2025-02-01 00:00:00+00:00,0.0,284.5732813114696,1.0,0.8333333333333334,15.0,,yes
11,00012,2025-01-01 00:00:00+00:00,0.0,270.28118678210154,1.0,1.0,531.0,,yes
12,00013,2025-01-01 00:00:00+00:00,0.0,290.39727980506746,1.0,0.0,673.0,,yes
13,00014,2025-02-01 00:00:00+00:00,0.0,292.34869121862306,1.0,0.6666666666666666,12.0,1.0,yes
14,00015,2025-02-01 00:00:00+00:00,0.0,287.1565026143881,1.0,0.3333333333333333,-99.0,0.0,yes
15,00016,2025-01-01 00:00:00+00:00,0.0,289.2837740814874,1.0,0.0833333333333333,259.0,0.0,yes
16,00017,2025-01-01 00:00:00+00:00,0.0,352.2777905575189,1.0,1.0,0.0,-999.0,yes
17,00018,2025-01-01 00:00:00+00:00,0.0,319.86832908883315,1.0,1.0,0.0,-999.0,yes
18,00019,2025-01-01 00:00:00+00:00,0.0,300.68237133201364,1.0,0.5833333333333334,-99.0,0.0,checking
19,00020,2025-01-01 00:00:00+00:00,0.0,296.2784977267769,1.0,0.9166666666666666,1131.0,2.0,yes
20,00021,2025-01-01 00:00:00+00:00,0.0,310.6635390417235,1.0,1.0,0.0,,yes
21,00022,2025-01-01 00:00:00+00:00,0.0,280.55101982121425,2.0,1.0,0.0,-999.0,yes
22,00023,2025-01-01 00:00:00+00:00,0.0,263.91399138245504,1.0,0.75,-99.0,-999.0,yes
23,00024,2025-01-01 00:00:00+00:00,0.0,300.71764002826217,2.0,0.5,0.0,-999.0,yes
24,00025,2025-02-01 00:00:00+00:00,0.0,297.1188978720736,2.0,1.0,0.0,0.0,yes
25,00026,2025-01-01 00:00:00+00:00,0.0,300.0,0.0,0.8333333333333334,27.0,0.0,yes
26,00027,2025-01-01 00:00:00+00:00,0.0,300.0,0.0,0.8333333333333334,0.0,1.0,yes
27,00028,2025-01-01 00:00:00+00:00,0.0,267.4802464591329,1.0,0.6666666666666666,97.0,,yes
28,00029,2025-01-01 00:00:00+00:00,0.0,316.93551404538164,1.0,0.0833333333333333,-99.0,0.0,yes
29,00030,2025-01-01 00:00:00+00:00,0.0,264.7870010242408,0.0,1.0,2018.0,1.0,yes
